DATE.ADDED.TO.CATALOG	PUBMEDID	FIRST.AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.SIZE	REPLICATION.SAMPLE.SIZE	REGION	CHR_ID	CHR_POS	REPORTED.GENE.S.	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST.SNP.RISK.ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK.ALLELE.FREQUENCY	P.VALUE	PVALUE_MLOG	P.VALUE..TEXT.	OR.or.BETA	X95..CI..TEXT.	PLATFORM..SNPS.PASSING.QC.	CNV
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	13q14.11	13	43883789	C13orf31	LACC1			ENSG00000179630	NA	NA	rs3764147-G	rs3764147	0	3764147	missense_variant	0	0.245	1e-10	10		1.17	[1.12-1.23]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	16p12.1	16	28479196	IL27, SH2B1, EIF3C, LAT, CD19	CLN3, AC138894.1			ENSG00000188603, ENSG00000261832	NA	NA	rs151181-G	rs151181	0	151181	intron_variant	0	0.386	2e-11	10.698970004336		1.07	[1.03-1.12]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	10q22.3	10	79300560	ZMIZ1	ZMIZ1			ENSG00000108175	NA	NA	rs1250550-G	rs1250550	0	1250550	intron_variant	0	0.669	1e-30	30		1.19	[1.15-1.23]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	14q24.1	14	68743482	ZFP36L1	AL132986.1 - ZFP36L1	ENSG00000287913	ENSG00000185650		6804	44178	rs4902642-G	rs4902642	0	4902642	regulatory_region_variant	1	0.584	2e-10	9.69897000433602		1.07	[1.11-1.04]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	5q33.3	5	159360377	IL12B	AC008691.1			ENSG00000249738	NA	NA	rs6556412-A	rs6556412	0	6556412	intron_variant	0	0.332	5e-14	13.301029995664		1.18	[1.13-1.24]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	10q21.1	10	58153390	UBE2D1	AC026884.1 - IPMK	ENSG00000232115	ENSG00000151151		46511	38127	rs1819658-C	rs1819658	0	1819658	regulatory_region_variant	1	0.774	9e-17	16.0457574905607		1.19	[1.13-1.25]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1q32.1	1	206766559	IL10, IL19	Y_RNA - IL10	ENSG00000265852	ENSG00000136634		18467	1043	rs3024505-T	rs3024505	0	3024505	intergenic_variant	1	0.157	2e-14	13.698970004336		1.12	[1.07-1.17]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	1q24.3	1	172884320	TNFSF18, TNFSF4, FASLG	AL031599.1			ENSG00000224228	NA	NA	rs7517810-T	rs7517810	0	7517810	intron_variant	0	0.246	2e-15	14.698970004336		1.22	[1.16-1.28]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	21q22.3	21	44195140	ICOSLG	GATD3A			ENSG00000160221	NA	NA	rs2838519-G	rs2838519	0	2838519	intron_variant	0	0.391	2e-14	13.698970004336		1.18	[1.13-1.23]	Affymetrix, Illumina [953241] (imputed)	N
2012-10-19	21102463	Franke A	2010-11-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn's disease susceptibility loci.	Crohn's disease	6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry trios	13q14.11	13	42478744	TNFSF11	LINC02341			ENSG00000283554	NA	NA	rs2062305-G	rs2062305	0	2062305	intron_variant	0	0.346	5e-10	9.30102999566398		1.1	[1.05-1.15]	Affymetrix, Illumina [953241] (imputed)	N
